"replica","omega","sigma_q","sigma_t","phi","eta","shock","calibracion_ok","shock_ok","pib_real_base","pib_real_shock","var_pib_real_pct","var_c_real_pct","var_i_real_pct","var_x_real_pct","var_m_real_pct","delta_tax_pp_pib","delta_u_pp","norm_calibracion","parametro_var","valor_var"
23,1.5,2,1.5,0.0666666666666667,0.5,"iva",TRUE,TRUE,282097.798326924,281764.625612832,-0.118105393259982,-0.140806807665494,-0.0715438015067904,-0.141978436132006,-0.0943452481380391,0.00450680684808413,0.44355283119209,2.47765041939322e-05,"phi",0.0666666666666667
23,1.5,2,1.5,0.0666666666666667,0.5,"pit",TRUE,TRUE,282097.798326924,280998.139853055,-0.389814624711982,-0.530063149520732,-0.168063313050348,-0.2182116710574,-0.13027029714896,0.0195507829256841,0.819008433551614,2.47765041939322e-05,"phi",0.0666666666666667
23,1.5,2,1.5,0.0666666666666667,0.5,"fit",TRUE,TRUE,282097.798326924,282374.020372421,0.0979171220530262,0.0665113057715772,0.254903195623135,0.035791226228743,0.0518967429317341,-0.0682166117808219,-0.213328736826981,2.47765041939322e-05,"phi",0.0666666666666667
24,1.5,2,1.5,0.0833333333333333,0.5,"iva",TRUE,TRUE,282097.798326924,281765.32032724,-0.117859126039299,-0.139665228841135,-0.0714041242961816,-0.143056539667352,-0.0938552721218899,0.00320588444309433,0.443089595528475,2.47765041939322e-05,"phi",0.0833333333333333
24,1.5,2,1.5,0.0833333333333333,0.5,"pit",TRUE,TRUE,282097.798326924,280999.383749907,-0.389373679458627,-0.527951177323704,-0.167812415909385,-0.220237712505145,-0.129353342082228,0.0171164296248721,0.818296536900648,2.47765041939322e-05,"phi",0.0833333333333333
24,1.5,2,1.5,0.0833333333333333,0.5,"fit",TRUE,TRUE,282097.798326924,282373.688706697,0.0977995508681939,0.0659804564749455,0.25483517444278,0.0362849531176268,0.0516687777978309,-0.0676172739076997,-0.212999703595024,2.47765041939322e-05,"phi",0.0833333333333333
25,1.5,2,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281766.010305548,-0.117614537704147,-0.138526741869138,-0.071265413593391,-0.144133642006161,-0.0933656937877281,0.00190629803551168,0.442635372009404,2.47765041939322e-05,"phi",0.1
25,1.5,2,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,281000.620054529,-0.388935425551606,-0.525844173314782,-0.167563041651153,-0.222262094535741,-0.12843697070346,0.0146846112137528,0.817597237048532,2.47765041939322e-05,"phi",0.1
25,1.5,2,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282373.359561237,0.0976828730841817,0.0654512338145175,0.254767718114746,0.0367782265805028,0.0514411094429956,-0.0670184915267213,-0.212678264126288,2.47765041939322e-05,"phi",0.1
26,1.5,2,1.5,0.116666666666667,0.5,"iva",TRUE,TRUE,282097.798326924,281766.695743527,-0.117371558856749,-0.137391239271156,-0.0711276296562979,-0.145209757224884,-0.0928765098755724,0.000608034132185131,0.442189777707634,2.47765041939322e-05,"phi",0.116666666666667
