"replica","omega","sigma_q","sigma_t","phi","eta","shock","calibracion_ok","shock_ok","pib_real_base","pib_real_shock","var_pib_real_pct","var_c_real_pct","var_i_real_pct","var_x_real_pct","var_m_real_pct","delta_tax_pp_pib","delta_u_pp","norm_calibracion"
24,0.578434409060719,1.85451044291221,0.52760018562185,0.0829671208612126,0.675944583691307,"iva",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86560471814165
24,0.578434409060719,1.85451044291221,0.52760018562185,0.0829671208612126,0.675944583691307,"pit",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86560471814165
24,0.578434409060719,1.85451044291221,0.52760018562185,0.0829671208612126,0.675944583691307,"fit",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86560471814165
25,0.976472622594883,2.3856096272757,2.08939394184472,0.116243068407857,0.964323441543093,"iva",TRUE,TRUE,282097.798326924,281659.020062351,-0.155541187196606,-0.145180053521121,-0.170482210760103,-0.213781218221132,-0.132622515313174,-0.0237585134841012,0.528902163247706,2.47765041955135e-05
25,0.976472622594883,2.3856096272757,2.08939394184472,0.116243068407857,0.964323441543093,"pit",TRUE,TRUE,282097.798326924,280729.789464898,-0.48494134663204,-0.552405950456347,-0.402516414586251,-0.376615956707882,-0.211663131125006,-0.0450485413146157,1.03336955734213,2.47765041955135e-05
25,0.976472622594883,2.3856096272757,2.08939394184472,0.116243068407857,0.964323441543093,"fit",TRUE,TRUE,282097.798326924,282889.263305633,0.280564039635434,0.163599677237802,0.625323623528851,0.226258095426601,0.135731062850053,0.0224129806012524,-0.616225523960646,2.47765041955135e-05
26,2.16321838741351,2.97921577928355,2.41743908584613,0.131114911591976,0.849333242152352,"iva",TRUE,TRUE,282097.798326924,281589.002591958,-0.180361469668722,-0.199936573029202,-0.147398040871061,-0.130960966582483,-0.0563028791172981,-0.0182292970878156,0.574341419630027,2.47765041939212e-05
26,2.16321838741351,2.97921577928355,2.41743908584613,0.131114911591976,0.849333242152352,"pit",TRUE,TRUE,282097.798326924,280615.150043653,-0.525579530242637,-0.653299867979218,-0.344927298585929,-0.210495693506774,-0.0618833570912525,-0.0313674983959122,1.10578172272492,2.47765041939212e-05
26,2.16321838741351,2.97921577928355,2.41743908584613,0.131114911591976,0.849333242152352,"fit",TRUE,TRUE,282097.798326924,282843.974458416,0.264509732410922,0.194843337271511,0.521946281330754,0.10487089878366,0.043338865163034,-0.00235974400250305,-0.571230228722476,2.47765041939212e-05
27,0.745708264286804,3.97189442419403,0.603751886017562,0.109574066929599,0.257130216041696,"iva",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113792468476276
27,0.745708264286804,3.97189442419403,0.603751886017562,0.109574066929599,0.257130216041696,"pit",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113792468476276
27,0.745708264286804,3.97189442419403,0.603751886017562,0.109574066929599,0.257130216041696,"fit",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113792468476276
28,2.46647967157332,3.27083530042546,1.82250987610405,0.110157601566425,0.813727865520923,"iva",TRUE,TRUE,282097.798326924,281577.732479898,-0.18435657779341,-0.212063783548189,-0.140478000939503,-0.100868542919985,-0.0308552201480294,-0.0140389467846475,0.580845410128304,2.47765041939179e-05
28,2.46647967157332,3.27083530042546,1.82250987610405,0.110157601566425,0.813727865520923,"pit",TRUE,TRUE,282097.798326924,280600.179650801,-0.530886339774894,-0.67482024729455,-0.327816525312763,-0.151276944217682,-0.0127573753813115,-0.0223982459527261,1.11314277728713,2.47765041939179e-05
28,2.46647967157332,3.27083530042546,1.82250987610405,0.110157601566425,0.813727865520923,"fit",TRUE,TRUE,282097.798326924,282815.075644634,0.254265478838955,0.195966770824563,0.491813269837471,0.0697338374579193,0.0191211547811765,-0.0118975629821827,-0.547189251214394,2.47765041939179e-05
29,2.48810006772328,2.80505607204759,2.9162790231594,0.12910999161013,0.782449476723559,"iva",TRUE,TRUE,282097.798326924,281590.434660023,-0.179853820168208,-0.207937129645053,-0.132255490856159,-0.119794312793686,-0.0503359645633417,-0.0140958639504973,0.571613685250848,2.47765041939144e-05
29,2.48810006772328,2.80505607204759,2.9162790231594,0.12910999161013,0.782449476723559,"pit",TRUE,TRUE,282097.798326924,280629.79320931,-0.520388718494158,-0.665544426592646,-0.30887352607889,-0.186925642056179,-0.0503351937992003,-0.0217853643172117,1.09157844191463,2.47765041939144e-05
29,2.48810006772328,2.80505607204759,2.9162790231594,0.12910999161013,0.782449476723559,"fit",TRUE,TRUE,282097.798326924,282768.292852628,0.23768158761972,0.182623333982068,0.464058483328622,0.0801247914079095,0.0356398998709206,-0.0166448244292183,-0.51170371855835,2.47765041939144e-05
30,1.15646741740784,2.70202482277455,0.720878984359842,0.0988939923221551,0.474488242770894,"iva",TRUE,TRUE,282097.798326924,281796.423185879,-0.106833567235221,-0.123142604490001,-0.0660465442132274,-0.137466920922025,-0.0871816977342954,0.00279151303330671,0.42087862078858,2.47765041939581e-05
30,1.15646741740784,2.70202482277455,0.720878984359842,0.0988939923221551,0.474488242770894,"pit",TRUE,TRUE,282097.798326924,281059.563196418,-0.368040848480167,-0.497007366966784,-0.155731474390164,-0.208594947780516,-0.116263365670688,0.0168494480621367,0.775206841893158,2.47765041939581e-05
30,1.15646741740784,2.70202482277455,0.720878984359842,0.0988939923221551,0.474488242770894,"fit",TRUE,TRUE,282097.798326924,282338.805229056,0.0854338118062792,0.0538754995279778,0.238535828408182,0.0308019041604268,0.0495951503157288,-0.0706625434679559,-0.186714583663676,2.47765041939581e-05
31,1.18845265650452,1.77156536809343,2.3262487136144,0.105297461608279,0.863159585425456,"iva",TRUE,TRUE,282097.798326924,281678.217369333,-0.148735991588445,-0.148398099945346,-0.145831535607743,-0.206141700281703,-0.133914572052196,-0.0165664558091028,0.512707410680617,2.4776504194023e-05
31,1.18845265650452,1.77156536809343,2.3262487136144,0.105297461608279,0.863159585425456,"pit",TRUE,TRUE,282097.798326924,280783.008244023,-0.466075981698089,-0.555424100172952,-0.343644637105467,-0.356558915937633,-0.212181202368311,-0.0284796785015778,0.989686039613311,2.4776504194023e-05
31,1.18845265650452,1.77156536809343,2.3262487136144,0.105297461608279,0.863159585425456,"fit",TRUE,TRUE,282097.798326924,282768.062731122,0.237600012539518,0.146039065933135,0.529558976520605,0.183356606703522,0.121601549022499,-0.00179464066955848,-0.520338067026853,2.4776504194023e-05
32,2.39542116637676,1.27386040746933,2.93336726889538,0.0632805252471371,0.282610053071403,"iva",TRUE,TRUE,282097.798326924,281762.842098449,-0.118737625909149,-0.161624881245415,-0.0376477950476017,-0.119011112137091,-0.0830465333967023,0.0136763865335787,0.440562207726968,2.47765041939118e-05
